year,brood,offspring,rank,dam,sire,dam.type,sire.type,hothiphop.parents,hiphop,hot.parents,hot.dam,hot.sire,hothiphop.dam,hothiphop.sire,below.threshold,threshold,loci.dyad.dam,loci.dyad.sire,loci.triad,offspring.heterozygosity,social.mother.sampled,social.father.sampled,social.mother,social.father,condition,ranking,ranking2
2019,1,WCR2019_0881,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,60,30,30,27,22,57,52,1,99999,487,826,472,0.35705950991832,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0882,1,WCR2019_0337,WCR2019_0405,within-group subordinate,within-group subordinate,5,0,5,1,4,1,4,1,99999,854,807,804,0.446907817969662,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0882,2,WCR2019_0337,WCR2019_0047,within-group subordinate,within-group subordinate,11,9,2,1,1,10,10,1,99999,854,856,853,0.446907817969662,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0882,3,WCR2019_0337,WCR2019_0265,within-group subordinate,within-group subordinate,11,8,3,1,2,9,10,1,99999,854,849,846,0.446907817969662,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0883,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,53,31,22,13,14,44,45,1,99999,487,824,472,0.416374269005848,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0883,2,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,54,21,33,13,47,34,68,1,99999,487,624,355,0.416374269005848,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0883,3,WCR2019_0223,WCR2019_0122,within-group subordinate,within-group subordinate,55,34,21,13,15,47,49,1,99999,487,844,480,0.416374269005848,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0885,1,WCR2019_0440,WCR2019_0122,within-group subordinate,within-group subordinate,56,24,32,21,21,45,45,1,99999,561,839,555,0.396004700352526,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0885,2,WCR2019_0440,WCR2019_0327,within-group subordinate,within-group subordinate,57,30,27,21,21,51,51,1,99999,561,821,542,0.396004700352526,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0885,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,61,27,34,29,21,56,48,1,99999,483,821,469,0.396004700352526,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0931,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,57,23,34,26,39,49,62,1,99999,483,622,351,0.362352941176471,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0931,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,59,30,29,26,21,56,51,1,99999,483,819,468,0.362352941176471,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0931,3,WCR2019_0440,WCR2019_0087,within-group subordinate,within-group subordinate,63,26,37,22,39,48,65,1,99999,561,622,409,0.362352941176471,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0932,1,WCR2019_0482,WCR2019_0475,within-group subordinate,within-group subordinate,42,23,19,15,4,38,27,1,99999,822,854,821,0.411695906432749,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0932,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,56,26,30,25,18,51,44,1,99999,485,824,470,0.411695906432749,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0932,3,WCR2019_0223,WCR2019_0075,within-group subordinate,within-group subordinate,58,30,28,25,24,55,54,1,99999,485,746,416,0.411695906432749,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0933,1,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,53,25,28,20,29,45,54,1,99999,486,759,424,0.435747663551402,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0933,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,54,28,26,20,21,48,49,1,99999,486,825,471,0.435747663551402,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0933,3,WCR2019_0223,WCR2019_0075,within-group subordinate,within-group subordinate,56,35,21,20,27,55,62,1,99999,486,747,417,0.435747663551402,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0934,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,58,31,27,20,29,51,60,1,99999,469,605,342,0.473939393939394,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0934,2,WCR2019_0191,WCR2019_0087,within-group subordinate,within-group subordinate,58,29,29,22,29,51,58,1,99999,626,605,448,0.473939393939394,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0934,3,WCR2019_0440,WCR2019_0087,within-group subordinate,within-group subordinate,60,30,30,18,29,48,59,1,99999,547,605,400,0.473939393939394,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0935,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,61,27,34,26,44,53,71,1,99999,487,625,354,0.364801864801865,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0935,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,63,27,36,26,40,53,67,1,99999,487,760,424,0.364801864801865,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0935,3,WCR2019_0223,WCR2019_0161,within-group subordinate,within-group subordinate,71,34,37,26,38,60,72,1,99999,487,808,468,0.364801864801865,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0936,1,WCR2019_0420,WCR2019_0405,within-group subordinate,within-group subordinate,1,0,1,0,1,0,1,1,99999,848,800,799,0.0530035335689046,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0936,2,WCR2019_0474,WCR2019_0405,within-group subordinate,within-group subordinate,3,1,2,2,1,3,2,1,99999,729,800,686,0.0530035335689046,0,0,NA,NA,none,hothiphop.parents,hot.parents
